topic	id	text
La cuisine	1	Une poêle sur le feu, des oignons qui caramélisent lentement.
La cuisine	2	La croûte dorée d'un pain frais sortant du four.
La cuisine	3	Le parfum des herbes fraîches écrasées entre les doigts.
La cuisine	4	Un bouillon fumant où mijotent des légumes et des morceaux de viande.
La cuisine	5	La texture crémeuse d'une sauce maison, liée avec patience.
La cuisine	6	Des épices exotiques qui transforment un simple ragoût.
La cuisine	7	Le croustillant d'une pomme de terre rôtie, parfaite à l'extérieur et moelleuse à l'intérieur.
La cuisine	8	Un plateau de fromages affinés, chacun avec son caractère unique.
La cuisine	9	La simplicité d'une salade estivale, tomates, basilic et huile d'olive.
La cuisine	10	Le rituel du thé, où chaque geste compte.
La cuisine	11	Un marché animé, étals colorés de fruits et légumes de saison.
La cuisine	12	La magie d'une pâte à tarte bien sabée, qui fond dans la bouche.
La cuisine	13	Des champignons séchés qui libèrent leur arôme en réhydratant.
La cuisine	14	Un dessert léger, mousse au chocolat, aérien et onctueux.
La cuisine	15	L'art de découper un poisson en filets nets et précis.
La cuisine	16	Une soupe réconfortante, parfaite pour les jours de pluie.
La cuisine	17	La croûte croustillante d'une pizza cuite au feu de bois.
La cuisine	18	Le processus de fermentation qui transforme une simple pâte en un pain levain.
La cuisine	19	Un plat de poisson grillé, simplement assaisonné avec du citron et de l'huile d'olive.
La cuisine	20	La richesse d'un risotto crémeux, cuit avec amour et patience.
La cuisine	21	Des légumes rôtis, caramélisés et tendres à la fois.
La cuisine	22	Une tarte aux fruits, où la croûte est aussi importante que la garniture.
La cuisine	23	Le parfum envoûtant d'un curry mijoté pendant des heures.
La cuisine	24	Un plateau de charcuterie, avec des viandes séchées et des olives.
La cuisine	25	La technique du flambage, qui ajoute une touche spectaculaire à certains plats.
La cuisine	26	Des pâtisseries fines et délicates, comme des macarons ou des éclairs.
La cuisine	27	Le processus de marinade, qui attendrit et parfume la viande.
La cuisine	28	Un repas partagé en famille, où chaque plat a une histoire.
La cuisine	29	La cuisine de rue, où les saveurs sont intenses et les prix modestes.
La cuisine	30	Un bouillon de volaille, base de tant de soupes et sauces.
La cuisine	31	La préparation d'un sushi, où la précision est essentielle.
La cuisine	32	Un dessert à base de fruits frais, léger et rafraîchissant.
La cuisine	33	La croûte d'un gratin bien doré, avec une couche croustillante.
La cuisine	34	Un plat de pâtes fresques, faites maison, avec une sauce simple.
La cuisine	35	La préparation d'un bouillon de poisson, base de nombreux plats asiatiques.
La cuisine	36	Un dessert au chocolat, riche et décadent.
La cuisine	37	La technique du braisage, pour des viandes tendres et juteuses.
La cuisine	38	Un repas végétarien équilibré, avec des légumineuses et des céréales.
La cuisine	39	La préparation d'un bouillon de légumes, base de la cuisine végétarienne.
La cuisine	40	Un plat de poisson en papillote, cuit à la vapeur.
La cuisine	41	La texture fondante d'un gâteau au chocolat bien cuit.
La cuisine	42	Un repas de fêtes, avec des plats élaborés et festifs.
La cuisine	43	La préparation d'un bouillon de légumes, base de la cuisine végétarienne.
La cuisine	44	Un plat de riz pilaf, parfumé et moelleux.
La cuisine	45	La technique de la cuisson à l'étouffée, pour des plats tendres.
La cuisine	46	Un dessert aux fruits secs, riche et nourrissant.
La cuisine	47	La préparation d'un bouillon de volaille, base de la cuisine traditionnelle.
La cuisine	48	Un plat de légumes grillés, simples et savoureux.
La cuisine	49	La croûte croustillante d'un pain de campagne, tout juste sorti du four.
La cuisine	50	Un repas de Noël, avec des plats traditionnels et festifs.
Les sports nautiques	1	Glisser sur l'eau avec une planche, propulsé par le vent.
Les sports nautiques	2	La sensation de liberté quand on navigue seul sur un voilier.
Les sports nautiques	3	Le bruit des vagues qui se brisent sur la coque d'un bateau.
Les sports nautiques	4	La force nécessaire pour ramer contre le courant.
Les sports nautiques	5	Le vent qui gonfle les voiles et propulse le bateau vers l'avant.
Les sports nautiques	6	La vue depuis le haut d'une vague, avant de descendre en surfant.
Les sports nautiques	7	L'équilibre précaire sur une planche de paddle, debout sur l'eau.
Les sports nautiques	8	La sensation de froid quand on plonge dans l'eau claire.
Les sports nautiques	9	Le silence sous l'eau, quand on fait de la plongée avec un tuba.
Les sports nautiques	10	La vitesse et l'adrénaline d'un jet ski filant sur les flots.
Les sports nautiques	11	La concentration nécessaire pour manœuvrer un kayak dans des rapides.
Les sports nautiques	12	La sensation de planer au-dessus de l'eau en kitesurf.
Les sports nautiques	13	Le travail d'équipe requis pour diriger un bateau à rames.
Les sports nautiques	14	La beauté des fonds marins, explorés avec un masque et un tuba.
Les sports nautiques	15	La force des bras après une longue session d'aviron.
Les sports nautiques	16	La sensation de glisser sur l'eau avec un wakeboard, tracté par un bateau.
Les sports nautiques	17	Le calme d'une baie isolée, explorée en canoë.
Les sports nautiques	18	La technique pour attraper une vague au bon moment en surf.
Les sports nautiques	19	La sensation de liberté quand on navigue seul sur un voilier.
Les sports nautiques	20	Le bruit des vagues qui se brisent sur la plage.
Les sports nautiques	21	La vue depuis le sommet d'une falaise, avant de plonger dans l'eau.
Les sports nautiques	22	La sensation de vitesse quand on descend une vague en bodyboard.
Les sports nautiques	23	La concentration nécessaire pour diriger un bateau à voile par vent fort.
Les sports nautiques	24	La beauté des récifs coralliens, explorés en plongée sous-marine.
Les sports nautiques	25	La force nécessaire pour pagayer contre le courant.
Les sports nautiques	26	La sensation de planer au-dessus de l'eau en kitesurf.
Les sports nautiques	27	Le travail d'équipe requis pour diriger un bateau à rames.
Les sports nautiques	28	La beauté des fonds marins, explorés avec un masque et un tuba.
Les sports nautiques	29	La force des bras après une longue session d'aviron.
Les sports nautiques	30	La sensation de glisser sur l'eau avec un wakeboard, tracté par un bateau.
